Proposal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,ORCID,Research Body,Research Body ROR ID,Funder Name,Crossref Funder Registry ID,Proposal Title,Start Date,End Date, Current Total Commitment 
00/PI.1/B038,Principal Investigator Programme,,,Seamus Martin,https://orcid.org/0000-0002-8539-3143,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Establishing functional proteomic maps of proteins involved in apoptosis,01/10/2001,31/03/2007,5471668
00/PI.1/B045,Principal Investigator Programme,,,Kingston Mills,https://orcid.org/0000-0003-3646-8222,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Pathogen-derived immunomodulatory molecules: future immunotherapeutics and vaccines,01/10/2001,04/12/2006,8069352
00/PI.1/B052,Principal Investigator Programme,,,Kenneth Wolfe,https://orcid.org/0000-0003-4992-4979,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Functional Organisation of Eukaryotic Genomes,01/10/2001,04/12/2006,5632098
00/PI.1/C067,Principal Investigator Programme,,,Doug Leith,https://orcid.org/0000-0003-4056-4014,Maynooth University (MU),https://ror.org/048nfjm95,Science Foundation Ireland,10.13039/501100001602,Centre for the analysis and design of interacting computer controlled systems,01/11/2001,04/04/2007,7939335
00/PI.1/C017,Principal Investigator Programme,,,John Lewis,,Technological University Dublin (TU Dublin),https://ror.org/04t0qbt32,Science Foundation Ireland,10.13039/501100001602,Measurement-Based Resource Management in Communication Networks.,01/12/2001,05/11/2006,2993355
00/PI.1/C028,Principal Investigator Programme,,,John Pethica,,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Nanostructures and Molecule Mechanics.,01/12/2001,04/05/2007,7567189
00/PI.1/C042,Principal Investigator Programme,,,Igor Shvets,https://orcid.org/0000-0001-7451-5435,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Studies of Surfaces and Interfaces of Magnetic Spinel Oxides.,01/12/2001,05/11/2006,7785757
00/PI.1/C043A,Principal Investigator Programme,,,Michael Coey,https://orcid.org/0000-0003-0053-8452,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Conception and Implementation of Nanoscale Spin Electronics (CINSE),01/12/2001,05/11/2006,7458077
00/PI.1/C072,Principal Investigator Programme,,,Eoin O'Reilly,https://orcid.org/0000-0001-5537-2985,Tyndall National Institute (TNI),https://ror.org/007ecwd34,Science Foundation Ireland,10.13039/501100001602,The Physics of Next Generation ICT Photonic Devices..,01/12/2001,28/02/2007,6343003
00/PI.1/C075,Principal Investigator Programme,,,Eugene Freuder,,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Constraint Computation: Automation and Application,01/12/2001,05/11/2006,8240515
00/PI.1/C077A.2,Principal Investigator Programme,,,John Boland,https://orcid.org/0000-0002-3229-8038,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Atomtronics: Nanoscale Science and Technology for Future Information.,01/12/2001,04/05/2007,8287673
01/F.1/C004,Principal Investigator Programme,Fellow Award,,Toby Walsh,,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Sensitivity Analysis Solution Stability and Uncertainty in Constraint Programming,01/04/2002,06/03/2007,651382
01/F.1/C015,Principal Investigator Programme,Fellow Award,,Nicholas Kushmerick,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Reliable and Scalable Information Services,01/04/2002,06/03/2007,648628
01/F.1/B006,Principal Investigator Programme,Fellow Award,,Kevin Mitchell,https://orcid.org/0000-0002-3433-4530,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,A molecular genetic approach to elucidate brain wiring mechanisms in mouse,01/06/2002,02/11/2007,1814154
01/PI.2/B039C,Principal Investigator Programme,,,Christopher Dainty,,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,Advanced Techniques of Optical Imaging and their application in Biomedicine and Information Technology,01/07/2002,05/06/2007,6196746
01/PI.2/C033,Principal Investigator Programme,,,Suzi Jarvis,https://orcid.org/0000-0002-6403-8484,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,The Function of Nanoscale Complex Systems,01/07/2002,03/09/2007,4238287
02/W/B12,ETS Walton Visitor Award,,,Michael Organ,,Dublin City University (DCU),https://ror.org/04a1a1e81,Science Foundation Ireland,10.13039/501100001602,Discovery of Therapeutic Targets in the Post-Genomics Era,01/07/2002,26/06/2003,153872
02/W/B13,ETS Walton Visitor Award,,,Jp Richard,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Chemical Exploration of the Oxidative Metabolites of Aromatic Hydrocarbons,01/07/2002,27/05/2003,80340
02/W/B14,ETS Walton Visitor Award,,,Christopher Vaughan,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Understanding the Role of the Brain in Fatigue,01/07/2002,26/06/2003,188992
02/W/B15,ETS Walton Visitor Award,,,Paul Brindley,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Genomics and Proteomics approach to the control of emerging and re-emerging infectious diseases,01/07/2002,27/04/2003,75443
02/W/B16,ETS Walton Visitor Award,,,Michael Carroll,,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,Computational Biomechanics,01/07/2002,26/06/2003,158305
02/W/B18,ETS Walton Visitor Award,,,Max Dow,,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Cyclic-di-GMP signalling and the Environmental Regulation of Virulence Gene Expression in Bacterial Pathogens of Humans and Plants,01/07/2002,26/06/2003,115644
02/W/I02a,ETS Walton Visitor Award,,,Atsuo Fukuda,,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Materials Design and Molecular Alignments for V Shaped switching in Liquid Crystal on Silicon Microdisplays for Multimedia and IT,01/07/2002,26/06/2003,222975
02/W/I03,ETS Walton Visitor Award,,,Vladimir Buzek,,Maynooth University (MU),https://ror.org/048nfjm95,Science Foundation Ireland,10.13039/501100001602,Programmable Quantum Processors,01/07/2002,26/06/2003,163089
02/W/I06,ETS Walton Visitor Award,,,Richard Hamlet,,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,Software Components Development,01/07/2002,26/07/2003,162695
02/W/I08,ETS Walton Visitor Award,,,Mary Beth Ruskai,,Technological University Dublin (TU Dublin),https://ror.org/04t0qbt32,Science Foundation Ireland,10.13039/501100001602,Quantum information and coding,01/07/2002,27/05/2003,89662
02/W/I09,ETS Walton Visitor Award,,,Christopher A Fuchs,,Technological University Dublin (TU Dublin),https://ror.org/04t0qbt32,Science Foundation Ireland,10.13039/501100001602,Quantum information theory,01/07/2002,30/06/2003,226252
02/W/I11,ETS Walton Visitor Award,,,Eileen Trauth,,University of Limerick (UL),https://ror.org/00a0n9e72,Science Foundation Ireland,10.13039/501100001602,An Analysis of the Socio-Technical Factors Influencing the Evolution of Irelands ICT Sector,01/07/2002,26/06/2003,236124
02/W/M19,ETS Walton Visitor Award,,,David Taplin,,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Industrial Process Ecology,01/07/2002,26/06/2003,64107
01/F.1/B022,Principal Investigator Programme,Fellow Award,,Cormac Taylor,https://orcid.org/0000-0002-0946-1247,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Impact of Hypoxia on cAMP-dependent Pro-inflammatory Gene Expression in Epithelial Cells,01/08/2002,06/07/2007,1612706
01/F.1/C013,Principal Investigator Programme,Fellow Award,,Guillaume Huyet,,Tyndall National Institute (TNI),https://ror.org/007ecwd34,Science Foundation Ireland,10.13039/501100001602,Nonlinear Dynamics and Quantum Optics of Semiconductor lasers for Phototonic Applications,01/08/2002,02/01/2008,1924426
01/PI.2/B024,Principal Investigator Programme,,,Luke O'Neill,https://orcid.org/0000-0002-4333-2748,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Toll-like receptors: targets for intervention in inflammatory and infectious diseases,01/08/2002,02/01/2008,3605786
01/F1/B018,Principal Investigator Programme,Fellow Award,,Ciaran Morrison,https://orcid.org/0000-0003-2401-7029,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,DNA double-strand break repair and the maintenance of genomic stability,01/09/2002,06/08/2007,1624293
01/F.1/B028,Principal Investigator Programme,Fellow Award,,David MacHugh,https://orcid.org/0000-0002-8112-4704,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Analysis of mammalian physiological and genetic regulatory networks using cDNA microarrays,01/10/2002,03/03/2008,1152315
01/F.1/C023,Principal Investigator Programme,Fellow Award,,Conor Heneghan,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,A Signal Processing Perspective on Multicarrier Communication Technology,01/10/2002,05/09/2007,688991
01/PI.2/C009,Principal Investigator Programme,,,David Parnas,,University of Limerick (UL),https://ror.org/00a0n9e72,Science Foundation Ireland,10.13039/501100001602,Mathematical Foundations Practical Notations and Tools for Reliable Flexible Systems,01/10/2002,03/03/2008,5268514
02/IN.1/B070,Principal Investigator Programme,,,Mary McCaffrey,,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Functional Characterisation of Rab4-and Rab 11-Interacting Proteins in Endosomal Recycling,01/10/2002,15/09/2005,1005463
02/IN.1/B102,Principal Investigator Programme,,,Phil Dix,,Maynooth University (MU),https://ror.org/048nfjm95,Science Foundation Ireland,10.13039/501100001602,Metabolic Engineering of the Chloroplast for Health and Industry,01/10/2002,10/09/2006,642338
02/IN.1/B52,Principal Investigator Programme,,,Shirley O'Dea,https://orcid.org/0000-0002-7197-4676,Maynooth University (MU),https://ror.org/048nfjm95,Science Foundation Ireland,10.13039/501100001602,Determination of Stem Cell and Differentiation Pathways Within the Lung Epithelium,01/10/2002,10/09/2006,658858
02/IN.1/I048,Principal Investigator Programme,,,Conor Ryan,https://orcid.org/0000-0002-7002-5815,University of Limerick (UL),https://ror.org/00a0n9e72,Science Foundation Ireland,10.13039/501100001602,Grammatical Evolution - A Single Evolutionary Framework,01/10/2002,10/09/2006,1235076
02/IN.1/I056,Principal Investigator Programme,,,Paul Whelan,https://orcid.org/0000-0001-9230-7656,Dublin City University (DCU),https://ror.org/04a1a1e81,Science Foundation Ireland,10.13039/501100001602,Automated Computer Analysis of Computed Tomography Colongraphy Image Data Sets.,01/10/2002,10/09/2006,534891
02/IN.1/I108,Principal Investigator Programme,,,Brian Fitzgerald,https://orcid.org/0000-0001-9193-2863,University of Limerick (UL),https://ror.org/00a0n9e72,Science Foundation Ireland,10.13039/501100001602,Building a Bi-Directional Bridge Between Theory and Practice (B4-STEP),01/10/2002,10/09/2006,931135
02/IN.1/I111,Principal Investigator Programme,,,Padraig Cunningham,https://orcid.org/0000-0002-3499-0810,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,The Knowledge Discovery Project: Tools to Uncover New Knowledge through Data Mining in Bioinformatics Medical Informatics and Finance,01/10/2002,10/09/2006,959593
02/IN.1/I40,Principal Investigator Programme,,,Thomas Conway,https://orcid.org/0000-0003-1975-5019,University of Limerick (UL),https://ror.org/00a0n9e72,Science Foundation Ireland,10.13039/501100001602,Development of Coding and Signal Processing for Gbps Data Storage and Baseband Communciations,01/10/2002,13/01/2006,245236
02/IN.1/IM062,Principal Investigator Programme,,,James Gleeson,https://orcid.org/0000-0003-3410-2817,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Mathematical Modelling of Randomness for applications in ICT and Biotechnology,01/10/2002,10/09/2006,544454
02/IN.1/B093,Principal Investigator Programme,,,Timothy Mantle,,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Pharmacological Manipulation of Bilirubin Levels: Implications for Neonatal Jaundice and Coronary Care,01/11/2002,11/10/2006,1006030
02/IN.1/I100,Principal Investigator Programme,,,Julie Berndsen,https://orcid.org/0000-0002-1851-3643,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,MUSTER - Multilingual Ubiquitous Speech Technology: Enhanced and Rethought,01/11/2002,09/04/2007,816705
02/CE.1/I148,Centres for Science Engineering and Technology Programme,Planning,,William Donnelly,,South East Technological University (SETU),https://ror.org/03fgx6868,Science Foundation Ireland,10.13039/501100001602,CSET NTSRC: National Telecommunications Services Research Centre,01/12/2002,26/11/2003,823299
02/IN.1/B030,Principal Investigator Programme,,,Carmel Mothersill,,Technological University Dublin (TU Dublin),https://ror.org/04t0qbt32,Science Foundation Ireland,10.13039/501100001602,Harnessing Radiation Induced Effects for Medicine and Biotechnology,01/12/2002,25/03/2004,545343
02/IN.1/B043,Principal Investigator Programme,,,Keith Tipton,,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Computational Approaches to the Representation & Analysis of Metabolic Systems & Synaptic Events,01/12/2002,08/02/2007,1089637
02/IN.1/B59,Principal Investigator Programme,,,Rosemary O'Connor,https://orcid.org/0000-0002-0687-3422,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Characterization of New Genes that are Associated with Cellular Transformation and IGF-1 Receptor Function,01/12/2002,10/11/2006,941415
02/IN.1/B60,Principal Investigator Programme,,,Colin Hill,https://orcid.org/0000-0002-8527-1445,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Post-Translational Machinery Responsible for a L-Serine to D-Alanine Conversion in the Lantibiotic Peptide Lacticin 3147; The Role of Modified Amino Acids in Antimicrobial Activity,01/12/2002,10/11/2006,892953
02/IN.1/I058,Principal Investigator Programme,,,David Nikogosyan,,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Femtosecond Laser-Induced Bragg and Long-Period Gratings,01/12/2002,20/11/2004,487607
02/IN.1/I095,Principal Investigator Programme,,,Jean-Paul Mosnier,,Dublin City University (DCU),https://ror.org/04a1a1e81,Science Foundation Ireland,10.13039/501100001602,ZnO-Based Material Systems for ICT Applications,01/12/2002,09/05/2007,1335251
02/IN.1/I172,Principal Investigator Programme,,,Clivia Sotomayor Torres,,Tyndall National Institute (TNI),https://ror.org/007ecwd34,Science Foundation Ireland,10.13039/501100001602,Silicon-Based Photonic Circuits Containing 2- and 3-Dimensional Photonic Crystal Waveguides and Light Sources for Communication Applications in the Visible and Near-Infrared Spectral Range,01/12/2002,03/05/2008,3384678
02/IN.1/I47,Principal Investigator Programme,,,John Donegan,https://orcid.org/0000-0002-5240-1434,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Quantum-Dot Microlasers With a Spherical Dielectric Microcavity for Fiber-Optic Communications,01/12/2002,15/11/2005,561613
02/IN.1/I71,Principal Investigator Programme,,,Alan Morrison,https://orcid.org/0000-0002-4049-2148,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,PhoCUS: Photon Counting Universal Sensors for Applications in ICT and Biotechnology,01/12/2002,08/02/2007,894317
02/IN.1/I91,Principal Investigator Programme,,,John Anthony Murphy,,Maynooth University (MU),https://ror.org/048nfjm95,Science Foundation Ireland,10.13039/501100001602,The Development of an Integrated Quasi-Optical and Electromagnetic Numerical Simulator for the Computer Aided Design and Analysis of Novel Terahertz Systems,01/12/2002,10/11/2006,830333
02/IN.1/I99,Principal Investigator Programme,,,Gerard O'Sullivan,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Opening the Extreme Ultra-Violet Lithography Source Bottleneck: The Development of a 13.5nm Plasma Based Source for the Semiconductor Industry,01/12/2002,10/11/2006,957439
02/IN.1/B116,Principal Investigator Programme,,,Michael Rowan,https://orcid.org/0000-0002-3867-9536,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Investigations of the Mechanisms Regulating the Induction of Synaptic Plasticity in the Intact Brain: Effects of Stress and Amyloid,16/12/2002,25/11/2006,1002513
01/F.1/B036,Principal Investigator Programme,Fellow Award,,Lothar Steidler,,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Study of elements controlling human interleukin-10 expression and secretion in the probiotic.,01/01/2003,31/12/2007,1385825
02/ERCIM/1,Infrastructural Support,ERCIM Membership,,Heather Ruskin,,Dublin City University (DCU),https://ror.org/04a1a1e81,Science Foundation Ireland,10.13039/501100001602,ERCIM Membership,01/01/2003,11/12/2006,40000
02/IN.1/B032,Principal Investigator Programme,,,Anne Burnell,,Maynooth University (MU),https://ror.org/048nfjm95,Science Foundation Ireland,10.13039/501100001602,The Exploitation of Anhydrobiotic Genes for the Preservation of Intact Proteins Cells and Tissues in Dry State,01/01/2003,09/06/2007,897677
02/IN.1/B110,Principal Investigator Programme,,,Roger Anwyl,,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Investigations of the Mechanisms Underlying the Induction of Synaptic Plasticity: Role of Metabotropic Glutamate Receptors and Amyloid,01/01/2003,09/06/2007,999795
02/IN.1/B113,Principal Investigator Programme,,,Michael Gill,https://orcid.org/0000-0003-0206-5337,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,A Genomic Investigation of the Major Psychotic Disorders,01/01/2003,09/06/2007,1005504
02/IN.1/B78,Principal Investigator Programme,,,Alexander Evans,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Functional Genomics of Tissue Development in Reproduction,01/01/2003,11/12/2006,967187
02/IN.1/I045,Principal Investigator Programme,,,Michael Peter Kennedy,https://orcid.org/0000-0003-3242-1056,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Design Methodology for Next-Generation Fractional-N Frequency Synthesizers,01/01/2003,03/06/2008,636670
02/IN.1/I39,Principal Investigator Programme,,,Orla Feely,https://orcid.org/0000-0003-3426-6854,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Nonlinear Effects in Communications Circuits and Systems,01/01/2003,09/06/2007,838964
02/IN.1/B68,Principal Investigator Programme,,,Seamas Donnelly,https://orcid.org/0000-0001-7145-1843,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Macrophage Migration Inhibitory Factor (MIF) Aberrant Remodelling/Repair & Chronic Inflammation,01/02/2003,10/07/2007,924890
02/IN.1/B84,Principal Investigator Programme,,,Damian Arrigan,,Tyndall National Institute (TNI),https://ror.org/007ecwd34,Science Foundation Ireland,10.13039/501100001602,Interfacial Processes for Future Bioelectroanalytical Sensing,01/02/2003,10/07/2007,1152624
02/IN.1/I031,Principal Investigator Programme,,,Jagdish K. Vij,https://orcid.org/0000-0001-7918-126X,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Electro-Optical and Spectroscopic Research on Devices Using Chiral Smectic Liquid Crystals for Photonic Applications,01/02/2003,10/07/2007,1006495
02/IN.1/I042,Principal Investigator Programme,,,Michael Connelly,https://orcid.org/0000-0003-1661-9265,University of Limerick (UL),https://ror.org/00a0n9e72,Science Foundation Ireland,10.13039/501100001602,All-Optical Processing Using Semiconductor Optical Amplifiers in Terabit/s Photonic Communication Systems,01/02/2003,10/07/2007,980065
02/W/B287,ETS Walton Visitor Award,,,Gordon Wallace,,Dublin City University (DCU),https://ror.org/04a1a1e81,Science Foundation Ireland,10.13039/501100001602,Novel Micropatterned Platforms Utilising Inherently Conducting Polymers,01/03/2003,27/10/2003,141258
02/W/B288,ETS Walton Visitor Award,,,Michael Scott,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Gene-Specific Silencing of PrP Expression by Small Interfering RNAs,01/03/2003,24/02/2004,193727
02/W/I284,ETS Walton Visitor Award,,,Ralph Radach,,Maynooth University (MU),https://ror.org/048nfjm95,Science Foundation Ireland,10.13039/501100001602,WebAssess: Automating Website Usability Assessment,01/03/2003,28/08/2003,45318
02/W/I286,ETS Walton Visitor Award,,,Peter Eric Wellstead,,Maynooth University (MU),https://ror.org/048nfjm95,Science Foundation Ireland,10.13039/501100001602,Control as a Systems Technology for Innovation and Technology Development and the Analysis and Application of Hybrid Systems,01/03/2003,24/02/2004,132199
02/W/I289,ETS Walton Visitor Award,,,Jack Dongarra,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,High-Level Programming Models and Tools for Grid Computing,01/03/2003,28/08/2003,167128
02/W/I291,ETS Walton Visitor Award,,,John Leonard,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Internet-Based Control of Autonomous Mobile Robots in Dynamic Environments,01/03/2003,24/02/2004,102777
02/W/M279,ETS Walton Visitor Award,,,Rodney Bartlett,,Tyndall National Institute (TNI),https://ror.org/007ecwd34,Science Foundation Ireland,10.13039/501100001602,High Accuracy Electronic Structure for Material Design,01/03/2003,30/05/2003,80600
02/W/M280,ETS Walton Visitor Award,,,John Sader,,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Theoretical Analysis of Static and Dynamic Processes in Nanoscale Systems and Applications to Quantitative Force Interaction Measurements,01/03/2003,30/05/2003,19033
02/IN.1/B065,Principal Investigator Programme,,,Charles Dorman,https://orcid.org/0000-0002-6018-9170,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,The Fis Global Regulator and Virulence Gene Expression in Salmonella Enterica Serovar Typhimurium in Vitro & in Vivo,01/04/2003,11/03/2007,1019288
02/IN.1/I025,Principal Investigator Programme,,,Thomas Brazil,https://orcid.org/0000-0002-4534-0418,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Modelling Techniques and Simulation Algorithms for High Frequency/High Speed Electronic Circuit and System Design,01/04/2003,07/09/2007,891785
02/IN.1/I147,Principal Investigator Programme,,,Albert Rogers Ellingboe,,Dublin City University (DCU),https://ror.org/04a1a1e81,Science Foundation Ireland,10.13039/501100001602,Centre for Plasma Formation Measurement and Control,07/04/2003,13/09/2007,3989022
02/IN.1/I181,Principal Investigator Programme,,,Michel Schellekens,https://orcid.org/0000-0002-0395-0488,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Efficiency Orientated Programming Languages: An Average Case Analysis Tool,07/04/2003,11/03/2008,1021974
02/CE.1/B141,Centres for Science Engineering and Technology Programme,,,Dolores Cahill,,RCSI University of Medicine and Health Science (RCSI),https://ror.org/01hxy9878,Science Foundation Ireland,10.13039/501100001602,CSET NCHP: National Centre for Human Proteomics,01/05/2003,17/09/2005,7096877
02/CE.1/I142,Centres for Science Engineering and Technology Programme,Planning,,John Pethica,,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,CSET CRANN: Centre for Research on Adaptive Nanostructures and Nanodevices,01/05/2003,28/10/2003,249302
02/IN.1/B238,Principal Investigator Programme,,,Peter Humphries,https://orcid.org/0000-0003-2928-5700,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Exploration of Molecular Pathology and Molecular Therapeutics for Inherited Retinal Degenerations,01/05/2003,08/08/2007,986965
02/IN.1/I92,Principal Investigator Programme,,,Jim Greer,,Tyndall National Institute (TNI),https://ror.org/007ecwd34,Science Foundation Ireland,10.13039/501100001602,Computation of the Mechanical and Electrical Properties of Oxide/Semiconductor Structures,01/05/2003,07/10/2007,1189114
03/IN.1/I340,Principal Investigator Programme,,,David Cotter,,Tyndall National Institute (TNI),https://ror.org/007ecwd34,Science Foundation Ireland,10.13039/501100001602,Photonic Systems Research,01/05/2003,09/06/2007,11207172
02/IN.1/B49,Principal Investigator Programme,,,Charles Spillane,https://orcid.org/0000-0003-3318-323X,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Functional and Evolutionary (epi) Genomics of Genocis Imprinting Dosage and Apomixis Technology Development in Plants,01/06/2003,11/05/2007,1043102
02/IN.1/I230,Principal Investigator Programme,,,Liam Bannon,,University of Limerick (UL),https://ror.org/00a0n9e72,Science Foundation Ireland,10.13039/501100001602,Shared Worlds - The Design Development Deployment and Evaluation of Novel Interactive Artifacts and Environments in Public Shared Spaces Based on a Human Activity Conceptual Model,01/06/2003,11/05/2007,969745
02/IN.1/M235,Principal Investigator Programme,,,Donald Fitzmaurice,,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Using High-Information Content Molecules to Template the Self Assembly in Solution and Self-Organisation at Patterned Substrates of Functional Nanoscale Components and Devices Incorporating Asymmetric Nanoparticles,01/06/2003,15/06/2006,779309
02/CE.1/I131,Centres for Science Engineering and Technology Programme,,,Stefan Decker,,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,CSET DERI: Digital Enterprise Research Centre,16/06/2003,19/06/2008,12945751
02/IN.1/B218,Principal Investigator Programme,,,Justin V McCarthy,https://orcid.org/0000-0002-2667-7365,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Characterisation of Presenilins Involvement in Cell Survival Signalling Pathways,21/07/2003,28/10/2007,547186
02/IN.1/B192,Principal Investigator Programme,,,Andrew Bowie,https://orcid.org/0000-0001-5316-4373,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Elucidating Toll-Like Receptor Function Using the Vaccinia Virus Proteins A46R and A52R,01/08/2003,11/07/2007,965127
02/IN.1/M231,Principal Investigator Programme,,,Alan Ryder,https://orcid.org/0000-0002-3133-4340,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,Nanoscale Biophotonics: Novel Approaches to Ultra-Sensitive and High Accuracy Fluorescence Techniques,01/08/2003,07/01/2008,1055985
03/CIF.1/M369,China / Ireland Science & Technology Collaboration Research Fund,,,James Slevin,,Royal Irish Academy (RIA),https://ror.org/019tbdj08,Science Foundation Ireland,10.13039/501100001602,China / Ireland Science & Technology Collaboration Research Fund,01/08/2003,26/07/2004,250000
03/CP.1/I353,Centres for Science Engineering and Technology Programme,Planning,,Donal O'Mahony,,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,CSET NGM: Development Grant for a CSET Proposal to Establish a Centre for Next Generation Manufacturing Jointly Between Industry and a Consortium of Irish Universities,01/08/2003,28/01/2004,434600
03/RP1/B344,Research Professorship Programme,,,Jochen Prehn,https://orcid.org/0000-0003-3479-7794,RCSI University of Medicine and Health Science (RCSI),https://ror.org/01hxy9878,Science Foundation Ireland,10.13039/501100001602,Chair of Physiology,01/08/2003,03/10/2008,3309707
02/IN.1/B117,Principal Investigator Programme,,,Gerard Cagney,https://orcid.org/0000-0001-7189-9496,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Quantitative Proteomics of Human Platelets,01/09/2003,11/08/2007,1064042
